name,category ,quantity,Coût d'achat,Prix de vente,Total ligne
F 1586,GLISSIER,15 000,0 00DA,0 00DA,0 00DA
F 1588,GLISSIER,15 000,0 00DA,0 00DA,0 00DA
F 1602,GLISSIER,15 000,0 00DA,0 00DA,0 00DA
F 1605,GLISSIER,12 000,0 00DA,0 00DA,0 00DA
F 1606,GLISSIER,15 000,0 00DA,0 00DA,0 00DA
F 1727,GLISSIER,15 000,0 00DA,0 00DA,0 00DA
F 2132,GLISSIER,15 000,0 00DA,0 00DA,0 00DA
F 2297,GLISSIER,15 000,0 00DA,0 00DA,0 00DA
F 2302,GLISSIER,29 000,0 00DA,0 00DA,0 00DA
F 2597,GLISSIER,15 000,0 00DA,0 00DA,0 00DA
F 3078,GLISSIER,15 000,0 00DA,0 00DA,0 00DA
F 3308,GLISSIER,15 000,0 00DA,0 00DA,0 00DA
M G,DTF COLOR INK,12,0 00DA,0 00DA,0 00DA
P 1,PAPIEE,20,0 00DA,0 00DA,0 00DA
P 10,PAPIEE,23,0 00DA,0 00DA,0 00DA
P 12,PAPIEE,0,0 00DA,0 00DA,0 00DA
P 14,PAPIEE,11,0 00DA,0 00DA,0 00DA
P 14 ARGENT,PRESSION,75,0 00DA,1 450 00DA,0 00DA
P 14 BRANZE,PRESSION,50,0 00DA,1 450 00DA,0 00DA
P 3,PAPIEE,20,0 00DA,0 00DA,0 00DA
P 36,PAPIEE,22,0 00DA,0 00DA,0 00DA
P 38,PAPIEE,31,0 00DA,0 00DA,0 00DA
P 4,PAPIEE,13,0 00DA,0 00DA,0 00DA
P 40,PAPIEE,30,0 00DA,0 00DA,0 00DA
P 42,PAPIEE,34,0 00DA,0 00DA,0 00DA
P 44,PAPIEE,20,0 00DA,0 00DA,0 00DA
P 46,PAPIEE,22,0 00DA,0 00DA,0 00DA
P 48,PAPIEE,24,0 00DA,0 00DA,0 00DA
P 5,PAPIEE,25,0 00DA,0 00DA,0 00DA
P 52,PAPIEE,9,0 00DA,0 00DA,0 00DA
P 54,PAPIEE,10,0 00DA,0 00DA,0 00DA
P 6,PAPIEE,0,0 00DA,0 00DA,0 00DA
P 8,PAPIEE,12,0 00DA,0 00DA,0 00DA
P L,PAPIEE,10,0 00DA,0 00DA,0 00DA
P M,PAPIEE,0,0 00DA,0 00DA,0 00DA
P S,PAPIEE,21,0 00DA,0 00DA,0 00DA
P XL,PAPIEE,0,0 00DA,0 00DA,0 00DA
P XXL,PAPIEE,19,0 00DA,0 00DA,0 00DA
P XXXL,PAPIEE,20,0 00DA,0 00DA,0 00DA
PISTOLET ATTACHE,PISTOLET ATTACHE,4,0 00DA,0 00DA,0 00DA
POUDRE POUR FEUILLE,POUDRE,14,0 00DA,0 00DA,0 00DA
PRESSE BTN NOIR,MACHINE PRESSION,44,0 00DA,0 00DA,0 00DA
PRESSE BTN VERTE,MACHINE PRESSION,0,0 00DA,0 00DA,0 00DA
SF-084,GLISSIER,12 000,0 00DA,0 00DA,0 00DA
T 676,GLISSIER,5 000,0 00DA,0 00DA,0 00DA
T 8 #,MOULE,223,0 00DA,0 00DA,0 00DA
T8 BLEU,PRESSION,160,0 00DA,0 00DA,0 00DA
T8 ROSE,PRESSION,120,0 00DA,0 00DA,0 00DA
TOPE,BOTON METALE,240,0 00DA,0 00DA,0 00DA
WHITE,DTF COLOR INK,67,0 00DA,0 00DA,0 00DA
Y 275,GLISSIER,15 000,0 00DA,0 00DA,0 00DA
Y 402,GLISSIER,27 000,0 00DA,0 00DA,0 00DA
Y L,DTF COLOR INK,10,0 00DA,0 00DA,0 00DA
,,284 956,,,0 00DA
